2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
2.222222,$
